window_start,window_end,selected_assets,objective_value
0,20,"[1.0, 1.0, 0.0]",-0.0010147646681958075
5,25,"[1.0, 1.0, 0.0]",-0.00030792747357873904
10,30,"[1.0, 1.0, 0.0]",-0.0027605857465076793
15,35,"[1.0, 1.0, 0.0]",-0.0037694314167703584
20,40,"[1.0, 1.0, 0.0]",-0.0027261588876692005
25,45,"[1.0, 1.0, 0.0]",-0.0038179978492059855
30,50,"[1.0, 1.0, 0.0]",-0.0014840991448808682
35,55,"[1.0, 0.0, 1.0]",-0.00389106859177714
40,60,"[1.0, 1.0, 0.0]",-0.0025602260300640147
45,65,"[1.0, 1.0, 0.0]",-0.0018981048496563712
50,70,"[0.0, 1.0, 1.0]",0.0010824594080619365
55,75,"[0.0, 1.0, 1.0]",0.0037444079160130275
60,80,"[0.0, 1.0, 1.0]",0.0037095527564945043
65,85,"[0.0, 1.0, 1.0]",0.000977755533279131
70,90,"[1.0, 1.0, 0.0]",-0.0017748193583886512
75,95,"[1.0, 1.0, 0.0]",-0.004199942878831788
80,100,"[1.0, 1.0, 0.0]",-0.007871290820377682
85,105,"[1.0, 1.0, 0.0]",-0.005730421691572264
90,110,"[1.0, 1.0, 0.0]",-0.0018155287807265262
95,115,"[1.0, 1.0, 0.0]",-0.00020290110681688277
100,120,"[1.0, 0.0, 1.0]",-0.0001606417888822907
105,125,"[1.0, 0.0, 1.0]",-0.0031670626035325768
110,130,"[1.0, 1.0, 0.0]",-5.4554636478592575e-05
115,135,"[1.0, 1.0, 0.0]",0.0023987205591379708
120,140,"[1.0, 1.0, 0.0]",-0.0005084079679606782
125,145,"[1.0, 1.0, 0.0]",0.0018855282267452545
130,150,"[1.0, 0.0, 1.0]",-0.0007320210452067344
135,155,"[1.0, 1.0, 0.0]",-0.0029183129592014255
140,160,"[1.0, 1.0, 0.0]",-0.0006994162503169345
145,165,"[1.0, 1.0, 0.0]",-0.0004378622043506722
150,170,"[1.0, 0.0, 1.0]",-0.004562086905028547
155,175,"[1.0, 0.0, 1.0]",-0.004983763061367264
160,180,"[1.0, 0.0, 1.0]",-0.005935752593309776
165,185,"[1.0, 0.0, 1.0]",-0.011770015424105412
170,190,"[1.0, 0.0, 1.0]",-0.011205224677447018
175,195,"[1.0, 0.0, 1.0]",-0.008678318120714462
180,200,"[1.0, 0.0, 1.0]",-0.008446969696962401
185,205,"[1.0, 0.0, 1.0]",-0.0036847999212915278
190,210,"[1.0, 1.0, 0.0]",3.1410585091159874e-05
195,215,"[1.0, 0.0, 1.0]",-0.0004138941900700871
200,220,"[1.0, 0.0, 1.0]",-0.001561028372258714
205,225,"[1.0, 1.0, 0.0]",-0.00252073644533092
210,230,"[1.0, 1.0, 0.0]",-0.003912282505096793
215,235,"[1.0, 1.0, 0.0]",-0.0066245438869943106
220,240,"[1.0, 1.0, 0.0]",-0.006304839242136982
225,245,"[1.0, 1.0, 0.0]",-0.009930841370991128
230,250,"[1.0, 1.0, 0.0]",-0.0072227522694058004
235,255,"[1.0, 1.0, 0.0]",-0.0056778558534040955
240,260,"[1.0, 1.0, 0.0]",-0.0025267847684097423
245,265,"[1.0, 0.0, 1.0]",0.0023340065761602007
250,270,"[0.0, 1.0, 1.0]",0.004079549904057383
